"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03880240","Gamma Induction for Alzheimer's Disease",,"Recruiting","No Results Available","Alzheimer Disease","Device: Transcranial Alternating Current Stimulation (tACS)|Other: Sham Transcranial Alternating Current Stimulation","PET amyloid burden|PET tau deposition|Incidence of Treatment-Emergent Adverse Events|Change in Gamma activity|Alzheimer's Disease Assessment Scale -Cog Score|Follow-up Amyloid PET burden|Follow-up Cognitive Evaluation","Beth Israel Deaconess Medical Center|Massachusetts General Hospital|National Institutes of Health (NIH)|National Institute on Aging (NIA)","All","45 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","55","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2019P000092|R01AG060981","August 5, 2019","November 2023","November 2023","March 19, 2019",,"August 30, 2019","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03880240"
2,"NCT03645993","Early Onset Alzheimer's Disease Genomic Study","TGen","Recruiting","No Results Available","Alzheimer Disease","Genetic: Genetic Testing","Biomarkers found in blood","Baylor Research Institute|Translational Genomics Research Institute","All","40 Years to 65 Years   (Adult, Older Adult)",,"2","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","017-176","June 16, 2017","June 16, 2022","June 16, 2022","August 24, 2018",,"October 7, 2019","Baylor Scott & White AT&T Memory Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03645993"
3,"NCT03827733","Gut Microbiota and Alzheimer's Diseases",,"Recruiting","No Results Available","Alzheimer Disease",,"Gut amyloid-beta 42","Shanghai 10th People's Hospital|Massachusetts General Hospital","All","60 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","dsyy004","February 1, 2018","December 31, 2019","December 31, 2020","February 1, 2019",,"April 9, 2019","Shanghai Tenth People's Hospital, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT03827733"
4,"NCT03168997","Memantine Treatment in Alzheimer's Disease Patients",,"Unknown status","No Results Available","Alzheimer Disease","Drug: Memantine Hydrochloride","ADAS-cog change","Wei Cuibai|Xuanwu Hospital, Beijing","All","50 Years and older   (Adult, Older Adult)","Phase 4","222","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","17237T","July 15, 2017","September 30, 2018","December 31, 2018","May 30, 2017",,"May 30, 2017",,,"https://ClinicalTrials.gov/show/NCT03168997"
5,"NCT03522129","Study to Evaluate the Effect of CT1812 Treatment on Amyloid Beta Oligomer Displacement Into CSF in Subjects With Mild to Moderate Alzheimer's Disease",,"Recruiting","No Results Available","Alzheimer Disease","Drug: CT1812|Drug: Placebo","Measuring the displacement of Amyloid beta oligomers into cerebrospinal fluid (CSF)","Cognition Therapeutics","All","50 Years to 80 Years   (Adult, Older Adult)","Phase 1","18","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COG0104","May 16, 2018","September 30, 2019","December 31, 2019","May 11, 2018",,"February 26, 2019","Clinilabs Drug Development Corporation, New York, New York, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03522129"
6,"NCT03690193","Feasibility and Efficacy of the Ketogenic Diet in Alzheimer's Disease","KDRAFT","Completed","No Results Available","Alzheimer Disease","Behavioral: Ketogenic Diet","Proportion of days positive for urinary ketone production|Change in blood ketone levels induced by ketogenic diet|Change in cognitive performance on the Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog)|Change in cognitive performance on the Mini-Mental State Exam (MMSE)|Dietary intake characterization prior to and after ketogenic diet initiation","University of Kansas Medical Center","All","Child, Adult, Older Adult","Not Applicable","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","13796","December 3, 2013","January 6, 2017","January 6, 2017","October 1, 2018",,"October 1, 2018",,,"https://ClinicalTrials.gov/show/NCT03690193"
7,"NCT03622905","ADvance II Study: DBS-f in Patients With Mild Alzheimer's Disease",,"Recruiting","No Results Available","Alzheimer Disease","Device: DBS-f On|Device: DBS Off","Change From Baseline Over Time at 12 months on the Ingegrated Alzheimer's Disease Rating Scale (iADRS) [ Time Frame: From Baseline to month 12 ]|Change From Baseline Over Time at 12 months on the Clinical Dementia Rating Scale - Sum of Boxes (CDR-SB) [ Time Frame: From Baseline to month 12 ]","Functional Neuromodulation Ltd","All","65 Years and older   (Older Adult)","Not Applicable","210","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","FNMI-002","August 1, 2019","October 1, 2023","October 1, 2024","August 9, 2018",,"September 16, 2019","Barrow Neurological Institute, Phoenix, Arizona, United States|University of Southern California, Los Angeles, California, United States|Stanford University, Stanford, California, United States|University of Florida, Gainesville, Florida, United States|University of South Florida, Tampa, Florida, United States|Johns Hopkins University, Baltimore, Maryland, United States|University of Texas, Austin, Texas, United States|Toronto Western Hospital, Toronto, Ontario, Canada|Universitätmedizin Charité Berlin, Berlin, Germany|Universitätklinikum Köln, Cologne, Germany|Klinik für Neurologie Universitätsklinikum, Kiel, Germany|Universität Magdeburg, Magdeburg, Germany|Technische Universität München, Munich, Germany|Universitätklinikum Würzburg, Würzburg, Germany",,"https://ClinicalTrials.gov/show/NCT03622905"
8,"NCT03896698","Feasibility Study of Transcranial Ultrasound Stimulation on Alzheimer's Disease Patients","TUS","Not yet recruiting","No Results Available","Alzheimer Disease","Device: Transcranial Ultrasound Stimulation","Device and procedure related adverse events recording|Alzheimer's Disease Assessment Scale-Cognitive subscale (ADAS-Cog)|Clinical Dementia Rating (CDR)|Neuropsychiatric Inventory Questionnaire (NPI-Q)|Transcranial Doppler (TCD)|Magnetic Resonance Image (MRI)","National Yang Ming University|Taipei Veterans General Hospital, Taiwan","All","55 Years to 90 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Device Feasibility","TUS01","May 1, 2019","August 31, 2020","November 30, 2020","April 1, 2019",,"April 2, 2019","Taipei Veterans General Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03896698"
9,"NCT02208193","Alzheimer's Disease, Art and Garden","JAZ ART","Unknown status","No Results Available","Alzheimer Disease","Behavioral: Cognitive and psycho-behavioral effects of an artistic dimension","Comparaison of the number of language acts in each category between AD and controls subjects|Scores obtained in standard neuropsychological tests, in particular to assess spatio-temporal orientation (Folstein MMSE),|Scores obtained with the "" MemoArtZ "" tool (MAZ) to evaluate the memorization of artistic elements of the garden,|Scores from the "" General Esthetic Preference "" (GEP) tool to evaluate the consistency of general esthetic appreciations,|obtained with the specific mood assessment scale (CSDD) for subjects in group A|Score obtained with the specific assessment of emotional events scale (AES) for all subjects.","Central Hospital, Nancy, France","All","60 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2014-A00139-38","July 2014","October 2016","September 2017","August 4, 2014",,"July 30, 2015","CHU Nancy, Nancy, France",,"https://ClinicalTrials.gov/show/NCT02208193"
10,"NCT03978338","A Study to Evaluate the Efficacy and Safety of Brain Polypeptide Solution in Mild Alzheimer's Disease",,"Not yet recruiting","No Results Available","Alzheimer Disease","Dietary Supplement: brain polypeptide solution|Other: same package of placebo","Changes of Alzheimer's Disease Assessment Scale—Cognitive Subscale(ADAS-cog) scores|Changes of Alzheimer's Disease Collaborative research group-Activities of Daily Living(ADCS-ADL)scores|Changes of Pittsburgh sleep quality index (PSQI) scores|Changes of Neuropsychiatric Inventory(NPI )scores|Changes of ( Mini-Mental State Examination )MMSE scores|Changes of Montreal Cognitive Assessment (MoCA) scores","Peking Union Medical College Hospital|Zhitong Biopharma CO.,LTD","All","50 Years to 85 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","HS-1959","July 2019","May 2020","September 2020","June 7, 2019",,"June 11, 2019",,,"https://ClinicalTrials.gov/show/NCT03978338"
