NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT00006176,Clinical and Genetic Studies of Familial Presenile Dementia With Neuronal Inclusion Bodies,Completed,Familial Dementia With Neuroserpin Inclusion Bodies|Nervous System Heredodegenerative Disorder,All,"10 Years and older   (Child, Adult, Older Adult)",Phase 4,100,Observational,"August 10, 2000","August 4, 2009",https://ClinicalTrials.gov/show/NCT00006176,10 Years and older ,10,up to 18 years old
NCT01682915,Structural and Functional Connectivity of Frontostriatal and Frontoparietal Networks as Endophenotypes of ADHD,Unknown status,Attention Deficit/Hyperactivity Disorder,All,"12 Years to 20 Years   (Child, Adult)",Phase 4,240,Observational,August 2012,July 2015,https://ClinicalTrials.gov/show/NCT01682915,12 Years to 20 Years ,12,up to 18 years old
NCT03149380,Effectiveness of Alzheimer's Universe (Www.AlzU.Org) on Knowledge and Behavior,Recruiting,"Alzheimer Disease|Alzheimer Disease, Late Onset|Memory Loss|Patient Education as Topic",All,"14 Years and older   (Child, Adult, Older Adult)",Not Applicable,10000,Interventional,January 2017,October 2024,https://ClinicalTrials.gov/show/NCT03149380,14 Years and older ,14,up to 18 years old
NCT01699711,Normalization of dyrk1A and APP Function as an Approach to Improve Cognitive Performance and Decelerate AD Progression in DS Subjects: Epigallocatechin Gallate as Therapeutic Tool,Completed,Down Syndrome (DS),All,"14 Years to 29 Years   (Child, Adult)",Phase 2,87,Interventional,February 2012,March 2015,https://ClinicalTrials.gov/show/NCT01699711,14 Years to 29 Years ,14,up to 18 years old
NCT01476228,EEG Objectification in Neuropsychiatry,Unknown status,Personality Disorder|Depression|Neurodegeneration|Alzheimer's Disease|Epilepsy,All,"15 Years to 90 Years   (Child, Adult, Older Adult)",Not Applicable,100,Interventional,November 2011,December 2015,https://ClinicalTrials.gov/show/NCT01476228,15 Years to 90 Years ,15,up to 18 years old
NCT00165100,Dynamic Area Telethermometry (DAT) as an Imaging Modality in Patients With Cancer,Completed,Malignant Tumors|Subcutaneous Tumors|Lymph Node Tumors,All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,50,Interventional,January 2000,October 2002,https://ClinicalTrials.gov/show/NCT00165100,16 Years and older ,16,up to 18 years old
NCT00978536,"A Monocenter, Cross-sectional Study to Compare Different Type of Cognitive Impairment in Multiple Sclerosis Patients and Cerebrospinal Fluid Biomarkers (Beta Amyloid, Total Tau Protein and Tau-phosphorylated Protein).",Terminated,Disseminated Sclerosis,All,"17 Years to 66 Years   (Child, Adult, Older Adult)",Not Applicable,29,Interventional,February 2009,November 2011,https://ClinicalTrials.gov/show/NCT00978536,17 Years to 66 Years ,17,up to 18 years old
NCT04117178,Monitoring Anti-Dementia Drugs by Serum Levels,Not yet recruiting,Dementia|Dementia With Lewy Bodies|Dementia in Parkinsons Disease|Dementia Alzheimers|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,110,Interventional,November 2019,November 2021,https://ClinicalTrials.gov/show/NCT04117178,18 Years and older ,18,up to 18 years old
NCT03902548,Initial Investigation of [18F]P16-129 in Alzheimer's Disease Patients and Healthy Volunteers,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,18,Interventional,"May 17, 2018",October 2019,https://ClinicalTrials.gov/show/NCT03902548,18 Years and older ,18,up to 18 years old
NCT01095744,Influence of Age on Amyloid Load in Alzheimer's Disease and in Atypical Focal Cortical Alzheimer's Disease,Completed,Alzheimer's Disease|Posterior Cortical Atrophy|Logopenic Progressive Aphasia,All,"18 Years and older   (Adult, Older Adult)",Phase 4,60,Observational,March 2009,May 2012,https://ClinicalTrials.gov/show/NCT01095744,18 Years and older ,18,up to 18 years old
NCT03602391,The Senior Companion Program Plus,Recruiting,Family|Alzheimer Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,300,Interventional,"May 16, 2019","June 30, 2021",https://ClinicalTrials.gov/show/NCT03602391,18 Years and older ,18,up to 18 years old
NCT02291783,"Phase I, Healthy Subject, Safety, Tolerability and Pharmacokinetic Study of an M1 Agonist to Treat Cognitive Impairment",Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,108,Interventional,November 2013,July 2014,https://ClinicalTrials.gov/show/NCT02291783,18 Years and older ,18,up to 18 years old
NCT02333942,Dementia Signal Development Study of Nautilus NeuroWave TM for the Detection of Dementia,Completed,Alzheimer Disease|Mild Cognitive Impairment|Frontotemporal Lobar Degeneration|Memory Disorders,All,"18 Years and older   (Adult, Older Adult)",Phase 4,41,Observational,May 2014,February 2015,https://ClinicalTrials.gov/show/NCT02333942,18 Years and older ,18,up to 18 years old
NCT03942341,Sleep in Adults With Down Syndrome and Alzheimer's Disease,Recruiting,Alzheimer's Disease|Obstructive Sleep Apnea|Sleep Disturbances,All,"18 Years and older   (Adult, Older Adult)",Phase 4,90,Observational,"May 8, 2019",December 2020,https://ClinicalTrials.gov/show/NCT03942341,18 Years and older ,18,up to 18 years old
NCT02134041,Amyloid Accumulation After Mild Traumatic Brain Injury,Recruiting,Traumatic Brain Injury|Dementia|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,150,Observational,October 2012,"September 18, 2019",https://ClinicalTrials.gov/show/NCT02134041,18 Years and older ,18,up to 18 years old
NCT03858283,Mindfulness for Alzheimer Caregivers,Recruiting,Alzheimer Disease|Neurodegenerative Diseases|Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,145,Interventional,"February 2, 2019","October 31, 2021",https://ClinicalTrials.gov/show/NCT03858283,18 Years and older ,18,up to 18 years old
