sex,hlth_pb,geo,unit,time,isced11,value
Total,Arthrosis,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,14.1
Total,Arthrosis,Belgium,Percentage,2014,All ISCED 2011 levels,16.7
Total,Arthrosis,Bulgaria,Percentage,2014,All ISCED 2011 levels,7.5
Total,Arthrosis,Czechia,Percentage,2014,All ISCED 2011 levels,12.3
Total,Arthrosis,Denmark,Percentage,2014,All ISCED 2011 levels,17.3
Total,Arthrosis,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,17.0
Total,Arthrosis,Estonia,Percentage,2014,All ISCED 2011 levels,3.6
Total,Arthrosis,Ireland,Percentage,2014,All ISCED 2011 levels,3.3
Total,Arthrosis,Greece,Percentage,2014,All ISCED 2011 levels,6.6
Total,Arthrosis,Spain,Percentage,2014,All ISCED 2011 levels,17.3
Total,Arthrosis,France,Percentage,2014,All ISCED 2011 levels,20.0
Total,Arthrosis,Croatia,Percentage,2014,All ISCED 2011 levels,6.0
Total,Arthrosis,Italy,Percentage,2014,All ISCED 2011 levels,17.8
Total,Arthrosis,Cyprus,Percentage,2014,All ISCED 2011 levels,4.1
Total,Arthrosis,Latvia,Percentage,2014,All ISCED 2011 levels,11.9
Total,Arthrosis,Lithuania,Percentage,2014,All ISCED 2011 levels,8.1
Total,Arthrosis,Luxembourg,Percentage,2014,All ISCED 2011 levels,17.4
Total,Arthrosis,Hungary,Percentage,2014,All ISCED 2011 levels,20.0
Total,Arthrosis,Malta,Percentage,2014,All ISCED 2011 levels,12.5
Total,Arthrosis,Netherlands,Percentage,2014,All ISCED 2011 levels,15.2
Total,Arthrosis,Austria,Percentage,2014,All ISCED 2011 levels,12.0
Total,Arthrosis,Poland,Percentage,2014,All ISCED 2011 levels,15.2
Total,Arthrosis,Portugal,Percentage,2014,All ISCED 2011 levels,24.1
Total,Arthrosis,Romania,Percentage,2014,All ISCED 2011 levels,4.6
Total,Arthrosis,Slovenia,Percentage,2014,All ISCED 2011 levels,4.5
Total,Arthrosis,Slovakia,Percentage,2014,All ISCED 2011 levels,11.8
Total,Arthrosis,Finland,Percentage,2014,All ISCED 2011 levels,21.4
