Year,Country / territory of asylum/residence,Origin,Population type,Value
#date+year,#country+residence,#country+origin,#population+type,#affected
1992,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),185
1992,Bulgaria,Various/Unknown,Refugees (incl. refugee-like situations),33
1993,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),208
1993,Bulgaria,Armenia,Refugees (incl. refugee-like situations),75
1993,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),56
1993,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),8
1993,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),8
1993,Bulgaria,Iraq,Refugees (incl. refugee-like situations),19
1993,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),1
1993,Bulgaria,Liberia,Refugees (incl. refugee-like situations),1
1993,Bulgaria,Rep. of Moldova,Refugees (incl. refugee-like situations),2
1993,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),61
1993,Bulgaria,Somalia,Refugees (incl. refugee-like situations),8
1993,Bulgaria,Sudan,Refugees (incl. refugee-like situations),1
1993,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
1993,Bulgaria,Various/Unknown,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),382
1994,Bulgaria,Algeria,Refugees (incl. refugee-like situations),36
1994,Bulgaria,Angola,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Armenia,Refugees (incl. refugee-like situations),79
1994,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),20
1994,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),14
1994,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),123
1994,Bulgaria,Chad,Returned refugees,1
1994,Bulgaria,Chile,Returned refugees,2
1994,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),22
1994,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),48
1994,Bulgaria,Georgia,Refugees (incl. refugee-like situations),2
1994,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),30
1994,Bulgaria,Iraq,Refugees (incl. refugee-like situations),56
1994,Bulgaria,Jordan,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Lithuania,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Mongolia,Refugees (incl. refugee-like situations),2
1994,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),4
1994,Bulgaria,Palestinian,Refugees (incl. refugee-like situations),8
1994,Bulgaria,Rep. of Moldova,Refugees (incl. refugee-like situations),2
1994,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),3
