cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
shot by the police,authorities related death,2016,8,8 Syrian refugees wre shot by the Turkush border police
drowned,drowning or exhaustion related death,2016,1,"a body of a man, about 50, was found on a beach in Lemos Vouliagmeni, near Athens"
drowned,drowning or exhaustion related death,2016,1,a body of a man awas recovered in along with 133 survivors in a rescue operation  between Italy and Libya.
stabbed,malicious intent related death / manslaughter,2016,2,"2 men, a Turkish national and a suspected smuggler were found stabbed to death in the woods near Subotica"
unknown,unknown - supposedly exhaustion related death,2016,1,a man was reported as missing off the coast of Cadiz
exposure,other,2016,1,a body of  man was found dead in the slowaway of an airplane that landed in Brussel airport
died in a sewer,other,2016,1,a young man frrom Sub-Saharan Africa died after trying to get into Melilla through a sewer
drowned,authorities related death,2016,1,A 22-year old man from Syria drowned in the river Tisza trying to cross to Hungary from Serbia. UNHCR has called for the investigation of the supposed pushback by the Hungarian border police that led to this death.
drowned,drowning or exhaustion related death,2016,339,"318 people were saved, 10 were found dead, and 329 went missing after a boat sank 75 nautical miles off Crete. It left from Alexandria, and carried about 650 people, according to survivors."
drowned,drowning or exhaustion related death,2016,133,133 dead people have been found on the sea shore in Libya near Zuwara. They are believed to be the refugees who went missing in the accidents of the previous week.
murdered,malicious intent related death / manslaughter,2016,1,"a 16-year old girl, Afghan asylum seeker, was found dead in a forest in southern Stockholm. She is believed to be the Afghan refugee reported as missing on March 20."
drowned,drowning or exhaustion related death,2016,2,"2 boys from Iraq were found dead in an irrigation reservoir near a shelter near Katherini, Northern Greece"
unknown,unknown - supposedly exhaustion related death,2016,1,a decayed body of a 68-year old  man was found in the port Perveza
unknown,unknown - supposedly exhaustion related death,2016,1,a body of a man was found in a boat with 123 refugees 28 miles north-west off Tripoli. They were picked up by the Irish ship Roisin
drowned,drowning or exhaustion related death,2016,1,"IOM Italy reported the death of one man off the coast of Porto Empedocle, Italy"
drowned,drowning or exhaustion related death,2016,9,IOM Italy reported 9 people a missing between Messina and North Africa
burns or suffocation,other,2016,4,UNHCR reported the finding of 4 bodies in the water off Lampedusa.
hit by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a 25-year old Afghan man was run over by a truck on the A16 highway near Calais. He was killed when trying to block the road with tree branches.
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"an Eritrean woman was killed in Libya. Her daughter was later rescued from one of the sinking boats between Libya and Italy, on May 26."
drowned,drowning or exhaustion related death,2016,260,"45 bodies were taken out of water, and 215 are feared missing after a boat sank between Italy and Libya"
drowned,"violent accidental death (transport, blown in minefield...)",2016,4,"the Libyan coast guard has recovered 4 bodies, believed to be the victims of two different shipwrecks."
drowned,drowning or exhaustion related death,2016,47,"47 people have gone missing and 78 were saved off the coast of Sabratha, Libya"
drowned,drowning or exhaustion related death,2016,500,"about 500 people are reported as drowned, and 87 were saved after a boat sank off the Libyan coast. It was towed by another boat, and did not have an engine."
drowned,drowning or exhaustion related death,2016,255,"435 people were saved, and 5 bodies were recovered after a wooden fishing boat capcized off the coast of Libya. It was later reportedd that about 250 were trapped in the overturned boat and died when it sank."
drowned,drowning or exhaustion related death,2016,10,Italian coast guard is searching for about 10 refugees who went missing after their boat capcisedd close to Sardinia. They were crossing from Algeria.
illness,authorities related death,2016,1,a 44-year old Syrian man died in hospital in Chios after a badly performed surgeory on his stomach. He died because he could not be transferred to a better hospital
unknown,unknown - supposedly exhaustion related death,2016,2,"2 young men were found dead in the Nile Delta, Kafr-el-Sheikh governorate"
drowned,drowning or exhaustion related death,2016,1,"a 20-year old man from Morocco drowned in the port of Ceuta after trying to get on a ship to Algesiras. The body was later retrieved by the coast guard, and placed in the city morgue."
bombed,"violent accidental death (transport, blown in minefield...)",2016,4,4 children died in a Kilis orphanage due to bombing by IS in April
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"a 24-year old man from Pakistan was hit by a car on Sunday night on the A16 near Calais, and died soon after. "
killed,malicious intent related death / manslaughter,2016,28,28 refgees died in an airtsrike targeted at the camp near Turkish border
drowned,drowning or exhaustion related death,2016,9,IOM Italy reported 9 migrants as missing after a shipwreck off the coast of Libya.
unknown,unknown - supposedly exhaustion related death,2016,1,"a body of a woman, badly decayed, was found on the cost of Samos"
unknown,unknown - supposedly exhaustion related death,2016,1,"a man was found unconsious and soon died on the coast of Voulas, supposedly, he came from Asia."
drowned,drowning or exhaustion related death,2016,23,"23 people died and 454 were rescued and brought to the port of Pozzallo after a shipwreck in the Channel of Sicily. They mostly come from Adrical countires, but some are from Syria and Yemen."
drowned,drowning or exhaustion related death,2016,84,"27 people were rescued by a passing merchant ship, and 84 have drowned as a boat from Libya attempted to reach Italy, but broke in 2 after about 2 hours at sea due to bad weather. The survivours have been brought to Lampedusa. The refugees came from West African countries"
killed,malicious intent related death / manslaughter,2016,13,"3 Libyan smugglers and 13 Egyptians were killed in a series of incidents, supposedly in a conflict over smuggling."
hit by a car,authorities related death,2016,1,a 40-year old man from Syria (possibly Kurdish) died in hospital in Idomeni after being hit by a police van during a riot in the Idomeni camp on Monday 18th of April.
unknown,unknown - supposedly exhaustion related death,2016,1,"a body of a man was found on the island of Kos, delivered to the local hospital."
bombed,"violent accidental death (transport, blown in minefield...)",2016,5,5 Syrians including 4 children died in Turkish border town Kilis after bombing from ISIS
shot,authorities related death,2016,8,8 Syrian refugees- women and children among them - were shot by Turkish border guards not far from A'zaz
drowned,drowning or exhaustion related death,2016,1,a body of a man was found close to the coast of Samos 
drowned,drowning or exhaustion related death,2016,1,a body of a 3-year old girl was found in the water by Turkish fishermen off the coast of Izmir
drowned,drowning or exhaustion related death,2016,469,"about 500 people are feared dead after 2 boats capcised on the way from Libya to Italy. 41 survivors were saved by a merchant ship and delivered to Kalamata, Greece. The accident happened in the middle of the night, and the death toll is estimated between 400 and 500. One boat has left from Tobruk."
drowned,drowning or exhaustion related death,2016,8,8 bodies were found in a drowning rubber boat close to Italy. 108 people resqued and taken to Lampedusa by a private ship called Aquarius (SOS Mediteranee charity). The survivors claimed that there were 135 passengers in the boat that left from the Libyan port of Sabratha
