cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
shot by the police,authorities related death,2016,8,8 Syrian refugees wre shot by the Turkush border police
stabbed,malicious intent related death / manslaughter,2016,2,"2 men, a Turkish national and a suspected smuggler were found stabbed to death in the woods near Subotica"
exposure,other,2016,1,a body of  man was found dead in the slowaway of an airplane that landed in Brussel airport
died in a sewer,other,2016,1,a young man frrom Sub-Saharan Africa died after trying to get into Melilla through a sewer
murdered,malicious intent related death / manslaughter,2016,1,"a 16-year old girl, Afghan asylum seeker, was found dead in a forest in southern Stockholm. She is believed to be the Afghan refugee reported as missing on March 20."
burns or suffocation,other,2016,4,UNHCR reported the finding of 4 bodies in the water off Lampedusa.
hit by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a 25-year old Afghan man was run over by a truck on the A16 highway near Calais. He was killed when trying to block the road with tree branches.
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"an Eritrean woman was killed in Libya. Her daughter was later rescued from one of the sinking boats between Libya and Italy, on May 26."
illness,authorities related death,2016,1,a 44-year old Syrian man died in hospital in Chios after a badly performed surgeory on his stomach. He died because he could not be transferred to a better hospital
bombed,"violent accidental death (transport, blown in minefield...)",2016,4,4 children died in a Kilis orphanage due to bombing by IS in April
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"a 24-year old man from Pakistan was hit by a car on Sunday night on the A16 near Calais, and died soon after. "
killed,malicious intent related death / manslaughter,2016,28,28 refgees died in an airtsrike targeted at the camp near Turkish border
killed,malicious intent related death / manslaughter,2016,13,"3 Libyan smugglers and 13 Egyptians were killed in a series of incidents, supposedly in a conflict over smuggling."
hit by a car,authorities related death,2016,1,a 40-year old man from Syria (possibly Kurdish) died in hospital in Idomeni after being hit by a police van during a riot in the Idomeni camp on Monday 18th of April.
bombed,"violent accidental death (transport, blown in minefield...)",2016,5,5 Syrians including 4 children died in Turkish border town Kilis after bombing from ISIS
shot,authorities related death,2016,8,8 Syrian refugees- women and children among them - were shot by Turkish border guards not far from A'zaz
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"a 20-year old man, asylum seeker from Syria, died on the highway near Frankfurt Airport."
suicide,suicide,2016,1,A gay Russian opposition activist who lived in Luxembourg as an asylum seeker has committed suicide. He suffered from depression.
shot,authorities related death,2016,4,4 refugees were killed in a violent riot in a detention centre in Zawiya. The centre held refugees who were arrested on Libya's coast when they were trying to reach Europe.
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a Kurnish teenager (18 y.o.)  has died in Oxfordshire trying to travel underneath a truck from Dunkirk to Manchester. He had a legitimate right to stay in the UK.
shot,authorities related death,2016,16,"16 Syrian refugees, including 3 children, were shot by Turkish soldiers at the border since the start of 2016, Syrian Observatory for Human Rights reported."
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a 22-year old man died in hospital after being run over by a truck in the port of Calais
illness,other,2016,1,"a 15-year old boy from Somalia died of lung infection in hospital in Cagliali, Italy"
fell off a train,"violent accidental death (transport, blown in minefield...)",2016,1,"A teenager from Egypt has died after jumping off a train in Southern Germany. A few days before that, he was deported out of Germany. When discovered hiding under a seat, he handed the officians his documents (issued in Austria), and then rushed into another compartment, and jumped out of a window."
shot by border police,authorities related death,2016,10,"SOHR activists were informed that the Turkish border guards targeted a number of civilians during an attempt to cross from Lattakia and Idlib into Turkey what killed 2 civilians and wounded 10 others, it is still unknown if they have reached the Turkish borders, reports that the Turkish border guards also killed 8 others during attempts to cross into the Turkish lands."
wounded,"violent accidental death (transport, blown in minefield...)",2016,42,"The PYD reports that 42 people were wounded and killed during internal fightings trying to reach the border and going on the seas to escape the fights,"
wounded,"violent accidental death (transport, blown in minefield...)",2016,2,"2 Syrian children died in the hospital of Kilis, Turkey after fleeing a Russian airstrike in their hometown Aleppo"
murdered,malicious intent related death / manslaughter,2016,1,"1 man was killed in a fight in a refugee centre in Sweden, in the town of Ljusne"
disappeared,other,2016,1,"1 man, 36 year old, from Afghanistan, diesppaeared on his way from Calais Jungle to a supermarket"
starved,other,2016,1,"1 year old baby died at Adana Bus station due to coldness and starvation. The familiy walked from Aleppo to Hatay (Turkey), then took a bus when the child died at the satation"
exposure,other,2016,2,"2 women, aged approx. 14-16 and 30-40, have frozen to death while crossing the Balkans"
stabbed,malicious intent related death / manslaughter,2016,1,"A Pakistani man was stabbed to death, and 2 more wounded by a group of 5 menon the border to Macedonia"
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,"A young man (22) died trying to travel under a truck, but fell on the road and was ran over"
hypothermia,drowning or exhaustion related death,2016,3,2 women and a 5-year old child died of hypothermia in Lesvos 
suffocation,other,2016,1,"An Afghan boy, aged 15, soffucated in a truck while trying to cross into the UK from Calais"
exposure,other,2016,1,An Indian man froze to death while waiting in a car trying to get into Finland from Russia
suicide,suicide,2016,1,"An Iraqi man killed himself in a refugee selter in the Netherlands, Alphen aan den Rijn"
exposure,other,2016,1,"A body of a man was found in the landing gear of an airplane in Orly. The aircraft belongs to Air France, and came from Barzil"
car accident,"violent accidental death (transport, blown in minefield...)",2016,4,"A bus carrying refugees collided with a car in the Turkish province of Canakkale, on the way to Ayvalik, killing 6 people, 4 of them migrants"
car accident,"violent accidental death (transport, blown in minefield...)",2016,7,"A bus carrying refugees overturned in Turkish province of Balikesir, on the way to Ayvalik, killing 8 people, including the driver, and injuring 42"
car accident,"violent accidental death (transport, blown in minefield...)",2016,6,Rescuers have pulled out six bodies from the wreckage of a bus that crashed into a car in northwest Turkey.
car accident,"violent accidental death (transport, blown in minefield...)",2015,1,A Iranian man died. His head was crushed by a bridge pillar
stabbed,malicious intent related death / manslaughter,2015,1,"A 41-year-old man from Guinea-Bissau was stabbed, causing a riot"
tortured,malicious intent related death / manslaughter,2012,1,"Umar Bilemkhanov, a Chechen dissident whose asylum request had been declined, was later found dead in 2012 after being tortured"
tortured,malicious intent related death / manslaughter,2013,1,"Nazjujev, a Chechen dissident whose asylum request had been declined, was in 2013 found dead in a river,  with his teeth and nails pulled out, his knee caps shattered, broken skull and deep lacerations on his body, according to an autopsy report"
stabbed,malicious intent related death / manslaughter,2015,1,An Afghan refugee was stabbed to death in refugee shelter in Germany
stabbed,malicious intent related death / manslaughter,2015,1,"A 25 year old Sudanese was stabbed in the ""Jungle"" in Calais"
asphyxiated,authorities related death,2015,2,Two cameroonian men died asphyxiated in a cave as Moroccan police burnt blankets in front of the cave
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A Sudanese 16 years old was hit by a car on a highway near Coquelles
electrocuted,"violent accidental death (transport, blown in minefield...)",2015,1,A migrant was electrocuted to death at the Greek-Macedonian border during a second successive day of clashes between police and migrants stranded for weeks on the Greek side.
shot,malicious intent related death / manslaughter,2015,4,"Armed men attacked a lorry carrying migrants in northern Mali, killing four people and wounding six"
shot by the police,authorities related death,2015,6,The bodies of six Sudanese migrants who had been shot dead were found in Egypt's Sinai Peninsula near the Israeli border
burned,"violent accidental death (transport, blown in minefield...)",2015,18,A fire sparked by an electrical fault has killed 18 people and injured 43 others at a camp in Algeria
stabbed,malicious intent related death / manslaughter,2015,1,A 17-year-old girl was stabbed to death at a refugee reception centre in Western Norway
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A man between 25 and 30 was hit by a car near Grande-Synthe
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,An afghan asylum seeker was hit by a train
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,"A girl was part of a family of six who were following train tracks to the city of Alexandroupolis. The girl apparently slipped away from her parents and was struck by a passing train, police say. "
shot by the police,authorities related death,2015,15,15 African migrants were shot to death in Egypt’s Sinai Peninsula while trying to reach Israel
natural causes,other,2015,1,Croatian police say a 63-year-old woman from Afghanistan has died of natural causes in a refugee camp.
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,"4 people were hit by a car in the Eurotunnel. One died, the others are injured."
shot by the police,authorities related death,2015,1,Afghan migrant shot dead by police on Bulgarian border
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,An unidentified body has been found near the rail path 
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A Syrian woman died after being hit by a car on a motorway near the Eurotunnel terminal
police violence,authorities related death,2015,2,Two migrants died and 20 others were injured at the Spanish-Moroccan border on Friday 9 October after a raft on which they were travelling was overturned by the Moroccan Royal Marines
